date, DAXPoints
10-Nov-1988, 1266.92
11-Nov-1988, 1252.11
14-Nov-1988, 1252.83
15-Nov-1988, 1265.4
17-Nov-1988, 1261.28
18-Nov-1988, 1278.25
21-Nov-1988, 1286.99
22-Nov-1988, 1275.04
23-Nov-1988, 1283.08
24-Nov-1988, 1280.45
25-Nov-1988, 1275.67
28-Nov-1988, 1261.55
29-Nov-1988, 1259.19
30-Nov-1988, 1273.76
01-Dec-1988, 1281.61
02-Dec-1988, 1272.09
05-Dec-1988, 1281.32
06-Dec-1988, 1292.71
07-Dec-1988, 1300.66
08-Dec-1988, 1298.02
09-Dec-1988, 1300.76
12-Dec-1988, 1293.23
13-Dec-1988, 1288.09
14-Dec-1988, 1294.52
15-Dec-1988, 1282.28
16-Dec-1988, 1298.31
19-Dec-1988, 1310.38
20-Dec-1988, 1331.52
21-Dec-1988, 1321.69
22-Dec-1988, 1324.79
23-Dec-1988, 1326.2
27-Dec-1988, 1342.46
28-Dec-1988, 1332.39
29-Dec-1988, 1330.23
02-Jan-1989, 1325.96
03-Jan-1989, 1356.66
04-Jan-1989, 1369.78
05-Jan-1989, 1372.4
06-Jan-1989, 1356.48
09-Jan-1989, 1367.09
10-Jan-1989, 1349.9
11-Jan-1989, 1352.43
12-Jan-1989, 1360.61
13-Jan-1989, 1356.7
16-Jan-1989, 1343.58
17-Jan-1989, 1328.27
18-Jan-1989, 1316.93
19-Jan-1989, 1339.98
20-Jan-1989, 1329.81
23-Jan-1989, 1313.29
24-Jan-1989, 1326.61
25-Jan-1989, 1345.63
26-Jan-1989, 1330.8
27-Jan-1989, 1341.82
30-Jan-1989, 1335.94
31-Jan-1989, 1324.34
01-Feb-1989, 1305.93
02-Feb-1989, 1313.66
03-Feb-1989, 1328.99
06-Feb-1989, 1332.66
07-Feb-1989, 1344.8
08-Feb-1989, 1356.54
09-Feb-1989, 1349.72
10-Feb-1989, 1347.17
13-Feb-1989, 1335.5
14-Feb-1989, 1333.96
15-Feb-1989, 1321.2
16-Feb-1989, 1322.59
17-Feb-1989, 1319.93
20-Feb-1989, 1320.83
21-Feb-1989, 1310.59
22-Feb-1989, 1296.11
23-Feb-1989, 1273.08
24-Feb-1989, 1284.45
27-Feb-1989, 1269.68
28-Feb-1989, 1289.79
01-Mar-1989, 1305.75
02-Mar-1989, 1303.26
03-Mar-1989, 1324.89
06-Mar-1989, 1332.67
07-Mar-1989, 1331.01
08-Mar-1989, 1314.67
09-Mar-1989, 1315.86
10-Mar-1989, 1320.36
13-Mar-1989, 1310.36
14-Mar-1989, 1329.02
15-Mar-1989, 1332.66
16-Mar-1989, 1323.64
17-Mar-1989, 1325.51
20-Mar-1989, 1299.16
21-Mar-1989, 1302.17
22-Mar-1989, 1308.79
23-Mar-1989, 1303.76
28-Mar-1989, 1308.24
29-Mar-1989, 1310.66
30-Mar-1989, 1316
31-Mar-1989, 1319.88
03-Apr-1989, 1339.43
04-Apr-1989, 1341.9
05-Apr-1989, 1346.59
06-Apr-1989, 1351.48
07-Apr-1989, 1346.07
10-Apr-1989, 1362.59
11-Apr-1989, 1371.67
12-Apr-1989, 1379.3
13-Apr-1989, 1396.34
14-Apr-1989, 1378.35
17-Apr-1989, 1395.69
18-Apr-1989, 1390.61
19-Apr-1989, 1391.04
20-Apr-1989, 1387.27
21-Apr-1989, 1375.93
24-Apr-1989, 1373.49
25-Apr-1989, 1368.6
26-Apr-1989, 1374.19
27-Apr-1989, 1374.76
28-Apr-1989, 1374.04
02-May-1989, 1359.06
03-May-1989, 1365.87
05-May-1989, 1380.28
08-May-1989, 1379.38
09-May-1989, 1369.42
10-May-1989, 1368.13
11-May-1989, 1367.37
12-May-1989, 1348.26
16-May-1989, 1338.93
17-May-1989, 1338.38
18-May-1989, 1348.67
19-May-1989, 1354.08
22-May-1989, 1351.58
23-May-1989, 1348.59
24-May-1989, 1369.55
26-May-1989, 1373.55
29-May-1989, 1378.63
30-May-1989, 1402.57
31-May-1989, 1407.05
01-Jun-1989, 1406.96
02-Jun-1989, 1417.83
05-Jun-1989, 1421.74
06-Jun-1989, 1408.95
07-Jun-1989, 1429.9
08-Jun-1989, 1440
09-Jun-1989, 1436.9
12-Jun-1989, 1433.82
13-Jun-1989, 1425.78
14-Jun-1989, 1433.24
15-Jun-1989, 1426.18
16-Jun-1989, 1430.21
19-Jun-1989, 1453.59
20-Jun-1989, 1477.19
21-Jun-1989, 1470.38
22-Jun-1989, 1485.3
23-Jun-1989, 1485.31
26-Jun-1989, 1486.79
27-Jun-1989, 1475.08
28-Jun-1989, 1492.06
29-Jun-1989, 1488.16
30-Jun-1989, 1477.22
03-Jul-1989, 1485.4
04-Jul-1989, 1511.88
05-Jul-1989, 1496.81
06-Jul-1989, 1486.79
07-Jul-1989, 1507.88
10-Jul-1989, 1520.6
11-Jul-1989, 1503.36
12-Jul-1989, 1511.39
13-Jul-1989, 1513.56
14-Jul-1989, 1527.6
17-Jul-1989, 1530.24
18-Jul-1989, 1515.62
19-Jul-1989, 1535.12
20-Jul-1989, 1546.49
21-Jul-1989, 1556.38
24-Jul-1989, 1554.58
25-Jul-1989, 1550.01
26-Jul-1989, 1570.55
27-Jul-1989, 1564.87
28-Jul-1989, 1554.59
31-Jul-1989, 1548.68
01-Aug-1989, 1576.39
02-Aug-1989, 1590.13
03-Aug-1989, 1574.72
04-Aug-1989, 1585.37
07-Aug-1989, 1584.28
08-Aug-1989, 1604.64
09-Aug-1989, 1602.89
10-Aug-1989, 1615.58
11-Aug-1989, 1610.42
14-Aug-1989, 1586.75
15-Aug-1989, 1567.9
16-Aug-1989, 1591.19
17-Aug-1989, 1574.47
18-Aug-1989, 1572.98
21-Aug-1989, 1594.43
22-Aug-1989, 1600.7
23-Aug-1989, 1594.73
24-Aug-1989, 1592.85
25-Aug-1989, 1604.47
28-Aug-1989, 1600.99
29-Aug-1989, 1594.59
30-Aug-1989, 1589.01
31-Aug-1989, 1594.7
01-Sep-1989, 1608.05
04-Sep-1989, 1622.05
05-Sep-1989, 1636.8
06-Sep-1989, 1639.37
07-Sep-1989, 1638.53
08-Sep-1989, 1654.47
11-Sep-1989, 1641.06
12-Sep-1989, 1630.49
13-Sep-1989, 1609.66
14-Sep-1989, 1609.89
15-Sep-1989, 1607.08
18-Sep-1989, 1597.08
19-Sep-1989, 1613.12
20-Sep-1989, 1617.95
21-Sep-1989, 1615.21
22-Sep-1989, 1626.02
25-Sep-1989, 1635.05
26-Sep-1989, 1617.95
27-Sep-1989, 1585.06
28-Sep-1989, 1586.24
29-Sep-1989, 1570.64
02-Oct-1989, 1578.49
03-Oct-1989, 1596.79
04-Oct-1989, 1616.81
05-Oct-1989, 1615.77
06-Oct-1989, 1629.61
09-Oct-1989, 1636.15
10-Oct-1989, 1643.67
11-Oct-1989, 1610.49
12-Oct-1989, 1608.02
13-Oct-1989, 1595.63
16-Oct-1989, 1385.91
17-Oct-1989, 1477.17
18-Oct-1989, 1501.49
19-Oct-1989, 1522.29
20-Oct-1989, 1520.01
23-Oct-1989, 1518.24
24-Oct-1989, 1508.25
25-Oct-1989, 1479.22
26-Oct-1989, 1492.92
27-Oct-1989, 1467.31
30-Oct-1989, 1457.81
31-Oct-1989, 1464.87
01-Nov-1989, 1473.29
02-Nov-1989, 1465.6
03-Nov-1989, 1445.13
06-Nov-1989, 1444.74
07-Nov-1989, 1432.19
08-Nov-1989, 1436.89
09-Nov-1989, 1464.51
10-Nov-1989, 1490.97
13-Nov-1989, 1527.67
14-Nov-1989, 1502.79
15-Nov-1989, 1500.23
16-Nov-1989, 1515.66
17-Nov-1989, 1527.6
20-Nov-1989, 1533.75
21-Nov-1989, 1514.06
23-Nov-1989, 1533.07
24-Nov-1989, 1549.81
27-Nov-1989, 1560.04
28-Nov-1989, 1547.93
29-Nov-1989, 1565.83
30-Nov-1989, 1556.41
01-Dec-1989, 1603.81
04-Dec-1989, 1636.87
05-Dec-1989, 1621.11
06-Dec-1989, 1654.16
07-Dec-1989, 1667.86
08-Dec-1989, 1646.49
11-Dec-1989, 1652.22
12-Dec-1989, 1650.34
13-Dec-1989, 1630.31
14-Dec-1989, 1629.1
15-Dec-1989, 1628.49
18-Dec-1989, 1633.4
19-Dec-1989, 1640.5
20-Dec-1989, 1671.96
21-Dec-1989, 1676.85
22-Dec-1989, 1685.64
27-Dec-1989, 1732.88
28-Dec-1989, 1778.12
02-Jan-1990, 1788.89
03-Jan-1990, 1867.29
04-Jan-1990, 1830.92
05-Jan-1990, 1812.9
08-Jan-1990, 1841.47
09-Jan-1990, 1865.52
10-Jan-1990, 1843.05
11-Jan-1990, 1843.42
12-Jan-1990, 1860.96
15-Jan-1990, 1840.38
16-Jan-1990, 1806.1
17-Jan-1990, 1810.61
18-Jan-1990, 1771.67
19-Jan-1990, 1775.29
22-Jan-1990, 1787.08
23-Jan-1990, 1785
24-Jan-1990, 1751.62
25-Jan-1990, 1791.52
26-Jan-1990, 1798.22
29-Jan-1990, 1815.69
30-Jan-1990, 1815.2
31-Jan-1990, 1821.21
01-Feb-1990, 1852.92
02-Feb-1990, 1908.46
05-Feb-1990, 1939.82
06-Feb-1990, 1936.25
07-Feb-1990, 1895.65
08-Feb-1990, 1909.95
09-Feb-1990, 1895.93
12-Feb-1990, 1844.47
13-Feb-1990, 1857.1
14-Feb-1990, 1836.58
15-Feb-1990, 1845.92
16-Feb-1990, 1888.82
19-Feb-1990, 1886.73
20-Feb-1990, 1830.51
21-Feb-1990, 1807.4
22-Feb-1990, 1823.5
23-Feb-1990, 1788.39
26-Feb-1990, 1764.06
27-Feb-1990, 1797.04
28-Feb-1990, 1806.63
01-Mar-1990, 1796.18
02-Mar-1990, 1804.98
05-Mar-1990, 1838.18
06-Mar-1990, 1820.36
07-Mar-1990, 1841.92
08-Mar-1990, 1861.95
09-Mar-1990, 1858.89
12-Mar-1990, 1843.74
13-Mar-1990, 1866.57
14-Mar-1990, 1876.89
15-Mar-1990, 1884.26
16-Mar-1990, 1881.98
19-Mar-1990, 1924.56
20-Mar-1990, 1903.3
21-Mar-1990, 1930.67
22-Mar-1990, 1931.75
23-Mar-1990, 1921.64
26-Mar-1990, 1934.78
27-Mar-1990, 1926.92
28-Mar-1990, 1918.3
29-Mar-1990, 1955.88
30-Mar-1990, 1966.75
02-Apr-1990, 1935.26
03-Apr-1990, 1965.91
04-Apr-1990, 1960.89
05-Apr-1990, 1952.8
06-Apr-1990, 1959.08
09-Apr-1990, 1919.78
10-Apr-1990, 1913.14
11-Apr-1990, 1890.9
12-Apr-1990, 1909.87
17-Apr-1990, 1916.23
18-Apr-1990, 1896.91
19-Apr-1990, 1873.79
20-Apr-1990, 1890.62
23-Apr-1990, 1851.35
24-Apr-1990, 1841.21
25-Apr-1990, 1845.94
26-Apr-1990, 1830.92
27-Apr-1990, 1817.8
30-Apr-1990, 1812.91
02-May-1990, 1835.81
03-May-1990, 1874.85
04-May-1990, 1904.85
07-May-1990, 1920.88
08-May-1990, 1910.18
09-May-1990, 1903.61
10-May-1990, 1884.9
11-May-1990, 1884.76
14-May-1990, 1857.98
15-May-1990, 1843.77
16-May-1990, 1850.26
17-May-1990, 1831.59
18-May-1990, 1856.45
21-May-1990, 1817.71
22-May-1990, 1803.25
23-May-1990, 1833.66
25-May-1990, 1826.99
28-May-1990, 1823.22
29-May-1990, 1851.95
30-May-1990, 1843.32
31-May-1990, 1836.69
01-Jun-1990, 1850.24
05-Jun-1990, 1880.63
06-Jun-1990, 1857.95
07-Jun-1990, 1846.14
08-Jun-1990, 1826.56
11-Jun-1990, 1809.71
12-Jun-1990, 1812.35
13-Jun-1990, 1792.25
15-Jun-1990, 1787.28
18-Jun-1990, 1804.38
19-Jun-1990, 1821.34
20-Jun-1990, 1853.1
21-Jun-1990, 1863.55
22-Jun-1990, 1874.06
25-Jun-1990, 1881.88
26-Jun-1990, 1887.88
27-Jun-1990, 1887.3
28-Jun-1990, 1911.08
29-Jun-1990, 1884.67
02-Jul-1990, 1911.34
03-Jul-1990, 1911.26
04-Jul-1990, 1927.19
05-Jul-1990, 1927.07
06-Jul-1990, 1924.1
09-Jul-1990, 1927.28
10-Jul-1990, 1904.02
11-Jul-1990, 1902.36
12-Jul-1990, 1929.24
13-Jul-1990, 1931.85
16-Jul-1990, 1932.43
17-Jul-1990, 1929.06
18-Jul-1990, 1962.07
19-Jul-1990, 1962.22
20-Jul-1990, 1950.16
23-Jul-1990, 1939.82
24-Jul-1990, 1922.67
25-Jul-1990, 1924.34
26-Jul-1990, 1930.57
27-Jul-1990, 1920.25
30-Jul-1990, 1909.2
31-Jul-1990, 1922.92
01-Aug-1990, 1903.98
02-Aug-1990, 1870.89
03-Aug-1990, 1848.5
06-Aug-1990, 1759.59
07-Aug-1990, 1786.04
08-Aug-1990, 1733.57
09-Aug-1990, 1751.51
10-Aug-1990, 1752.48
13-Aug-1990, 1721.54
14-Aug-1990, 1714.53
15-Aug-1990, 1737.52
16-Aug-1990, 1739.58
17-Aug-1990, 1677.89
20-Aug-1990, 1645.38
21-Aug-1990, 1584.99
22-Aug-1990, 1568.18
23-Aug-1990, 1532.29
24-Aug-1990, 1545.76
27-Aug-1990, 1633.61
28-Aug-1990, 1623.06
29-Aug-1990, 1626.19
30-Aug-1990, 1653.55
31-Aug-1990, 1622.01
03-Sep-1990, 1620.15
04-Sep-1990, 1605.68
05-Sep-1990, 1581.66
06-Sep-1990, 1555.94
07-Sep-1990, 1559.67
10-Sep-1990, 1603.42
11-Sep-1990, 1578.99
12-Sep-1990, 1599.35
13-Sep-1990, 1581.26
14-Sep-1990, 1561.8
17-Sep-1990, 1527.32
18-Sep-1990, 1509.89
19-Sep-1990, 1479.4
20-Sep-1990, 1465.77
21-Sep-1990, 1430.47
24-Sep-1990, 1426.31
25-Sep-1990, 1367.9
26-Sep-1990, 1377.09
27-Sep-1990, 1399.5
28-Sep-1990, 1327.98
01-Oct-1990, 1405.67
02-Oct-1990, 1448.45
04-Oct-1990, 1413.38
05-Oct-1990, 1402.55
08-Oct-1990, 1458.07
09-Oct-1990, 1445.94
10-Oct-1990, 1406.02
11-Oct-1990, 1425.64
12-Oct-1990, 1461.9
15-Oct-1990, 1472.73
16-Oct-1990, 1462.71
17-Oct-1990, 1441.31
18-Oct-1990, 1468.54
19-Oct-1990, 1484.09
22-Oct-1990, 1474.16
23-Oct-1990, 1488.34
24-Oct-1990, 1523.17
25-Oct-1990, 1498.51
26-Oct-1990, 1463.12
29-Oct-1990, 1453.18
30-Oct-1990, 1439.72
31-Oct-1990, 1434.5
01-Nov-1990, 1421.23
02-Nov-1990, 1420.05
05-Nov-1990, 1422.83
06-Nov-1990, 1404.76
07-Nov-1990, 1370.5
08-Nov-1990, 1359.18
09-Nov-1990, 1384.12
12-Nov-1990, 1409.82
13-Nov-1990, 1421.81
14-Nov-1990, 1402.3
15-Nov-1990, 1417.48
16-Nov-1990, 1430.2
19-Nov-1990, 1462.81
20-Nov-1990, 1459.87
22-Nov-1990, 1496.05
23-Nov-1990, 1477.04
26-Nov-1990, 1458.28
27-Nov-1990, 1434.37
28-Nov-1990, 1425.67
29-Nov-1990, 1424.41
30-Nov-1990, 1436.57
03-Dec-1990, 1466.4
04-Dec-1990, 1442.7
05-Dec-1990, 1459.9
06-Dec-1990, 1493.06
07-Dec-1990, 1510.98
10-Dec-1990, 1514.6
11-Dec-1990, 1487.68
12-Dec-1990, 1518.58
13-Dec-1990, 1527.36
14-Dec-1990, 1513.25
17-Dec-1990, 1491.13
18-Dec-1990, 1480.32
19-Dec-1990, 1460.98
20-Dec-1990, 1417.96
21-Dec-1990, 1421.23
27-Dec-1990, 1413.32
28-Dec-1990, 1389.35
02-Jan-1991, 1359.43
03-Jan-1991, 1370.06
04-Jan-1991, 1390.08
07-Jan-1991, 1356.48
08-Jan-1991, 1351.21
09-Jan-1991, 1367.72
10-Jan-1991, 1376.76
11-Jan-1991, 1377.49
14-Jan-1991, 1345.26
15-Jan-1991, 1317.17
16-Jan-1991, 1324.94
17-Jan-1991, 1404.35
18-Jan-1991, 1401.65
21-Jan-1991, 1393.02
22-Jan-1991, 1373.91
23-Jan-1991, 1365.47
24-Jan-1991, 1379.57
25-Jan-1991, 1381.3
28-Jan-1991, 1378.5
29-Jan-1991, 1388.39
30-Jan-1991, 1395.54
31-Jan-1991, 1421.16
01-Feb-1991, 1417.52
04-Feb-1991, 1446.23
05-Feb-1991, 1442.73
06-Feb-1991, 1425.22
07-Feb-1991, 1442.83
08-Feb-1991, 1449.07
11-Feb-1991, 1493.18
12-Feb-1991, 1470.01
13-Feb-1991, 1482.87
14-Feb-1991, 1497.29
15-Feb-1991, 1500.62
18-Feb-1991, 1557.87
19-Feb-1991, 1588.56
20-Feb-1991, 1567.26
21-Feb-1991, 1569.54
22-Feb-1991, 1574.77
25-Feb-1991, 1606.06
26-Feb-1991, 1564.79
27-Feb-1991, 1553.99
28-Feb-1991, 1564.45
